tweet,tweet_clean,tweet_tokens,tweet_filtered,tweet_normalized,tweet_stemmed,label
@velhein_astartu @ardisatriawan Bener bgt janggar dan abah ntar sblm pemilu 2029 balik lagi merayu kalian. Klo skg mode gelandangan politik dulu,@velhein_astartu @ardisatriawan bener bgt janggar dan abah ntar sblm pemilu 2029 balik lagi merayu kalian. klo skg mode gelandangan politik dulu,"['velheinastartu', 'ardisatriawan', 'bener', 'bgt', 'janggar', 'dan', 'abah', 'ntar', 'sblm', 'pemilu', 'balik', 'lagi', 'merayu', 'kalian', 'klo', 'skg', 'mode', 'gelandangan', 'politik', 'dulu']","['velheinastartu', 'ardisatriawan', 'bener', 'bgt', 'janggar', 'abah', 'ntar', 'sblm', 'pemilu', 'merayu', 'klo', 'skg', 'mode', 'gelandangan', 'politik']","['velheinastartu', 'ardisatriawan', 'bener', 'bgt', 'janggar', 'abah', 'ntar', 'sblm', 'pemilu', 'merayu', 'klo', 'skg', 'mode', 'gelandangan', 'politik']","['velheinastartu', 'ardisatriawan', 'bener', 'bgt', 'janggar', 'abah', 'ntar', 'sblm', 'milu', 'rayu', 'klo', 'skg', 'mode', 'gelandang', 'politik']",politik
@xquitavee @prabowo @jokowi Woi babi ini bukan masalah kalah pilpres lagi tp harga diri bangsa yg dipermalukan sama si dungu jokowi.......,@xquitavee @prabowo @jokowi woi babi ini bukan masalah kalah pilpres lagi tp harga diri bangsa yg dipermalukan sama si dungu jokowi.......,"['xquitavee', 'prabowo', 'jokowi', 'woi', 'babi', 'ini', 'bukan', 'masalah', 'kalah', 'pilpres', 'lagi', 'tp', 'harga', 'diri', 'bangsa', 'yg', 'dipermalukan', 'sama', 'si', 'dungu', 'jokowi']","['xquitavee', 'prabowo', 'jokowi', 'woi', 'babi', 'kalah', 'pilpres', 'tp', 'harga', 'bangsa', 'yg', 'dipermalukan', 'si', 'dungu', 'jokowi']","['xquitavee', 'prabowo', 'jokowi', 'woi', 'babi', 'kalah', 'pilpres', 'tp', 'harga', 'bangsa', 'yang', 'dipermalukan', 'si', 'dungu', 'jokowi']","['xquitavee', 'prabowo', 'jokowi', 'woi', 'babi', 'kalah', 'pilpres', 'tp', 'harga', 'bangsa', 'yang', 'malu', 'si', 'dungu', 'jokowi']",politik
Isinya kadang lebih cocok buat debat politik murahan #MediaTempoPengkhianatBangsa MediaPemusnah FaktaNyata https://t.co/QpWZxeU5QF,isinya kadang lebih cocok buat debat politik murahan #mediatempopengkhianatbangsa mediapemusnah faktanyata https://t.co/qpwzxeu5qf,"['isinya', 'kadang', 'lebih', 'cocok', 'buat', 'debat', 'politik', 'murahan', 'mediatempopengkhianatbangsa', 'mediapemusnah', 'faktanyata']","['isinya', 'kadang', 'cocok', 'debat', 'politik', 'murahan', 'mediatempopengkhianatbangsa', 'mediapemusnah', 'faktanyata']","['isinya', 'kadang', 'cocok', 'debat', 'politik', 'murahan', 'mediatempopengkhianatbangsa', 'mediapemusnah', 'faktanyata']","['isi', 'kadang', 'cocok', 'debat', 'politik', 'murah', 'mediatempopengkhianatbangsa', 'mediapemusnah', 'faktanyata']",politik
@rstrnpdg @itsurboihyl Nambahin. Diluar diskusi perkontenan. Belajar dari pilpres 2024. Anies itu butuh operator lapangan yang lebih mumpuni lagi. Operator lapangan ya berarti termasuk aktor komunikasi ke elite dan tokoh-tokoh yang menguasai kantong suara,@rstrnpdg @itsurboihyl nambahin. diluar diskusi perkontenan. belajar dari pilpres 2024. anies itu butuh operator lapangan yang lebih mumpuni lagi. operator lapangan ya berarti termasuk aktor komunikasi ke elite dan tokoh-tokoh yang menguasai kantong suara,"['rstrnpdg', 'itsurboihyl', 'nambahin', 'diluar', 'diskusi', 'perkontenan', 'belajar', 'dari', 'pilpres', 'anies', 'itu', 'butuh', 'operator', 'lapangan', 'yang', 'lebih', 'mumpuni', 'lagi', 'operator', 'lapangan', 'ya', 'berarti', 'termasuk', 'aktor', 'komunikasi', 'ke', 'elite', 'dan', 'tokohtokoh', 'yang', 'menguasai', 'kantong', 'suara']","['rstrnpdg', 'itsurboihyl', 'nambahin', 'diluar', 'diskusi', 'perkontenan', 'belajar', 'pilpres', 'anies', 'butuh', 'operator', 'lapangan', 'mumpuni', 'operator', 'lapangan', 'ya', 'aktor', 'komunikasi', 'elite', 'tokohtokoh', 'menguasai', 'kantong', 'suara']","['rstrnpdg', 'itsurboihyl', 'nambahin', 'diluar', 'diskusi', 'perkontenan', 'belajar', 'pilpres', 'anies', 'butuh', 'operator', 'lapangan', 'mumpuni', 'operator', 'lapangan', 'ya', 'aktor', 'komunikasi', 'elite', 'tokohtokoh', 'menguasai', 'kantong', 'suara']","['rstrnpdg', 'itsurboihyl', 'nambahin', 'luar', 'diskusi', 'konten', 'ajar', 'pilpres', 'anies', 'butuh', 'operator', 'lapang', 'mumpuni', 'operator', 'lapang', 'ya', 'aktor', 'komunikasi', 'elite', 'tokohtokoh', 'kuasa', 'kantong', 'suara']",politik
@DokterTifa @prabowo Masalahnya Pak prabowo mendukung gutu politiknya karena utang jasa pilpres kemaren nama juga di menangkan Jadi harus patuh sama yang memenangkan beliau.. Itu faktanya Sorry to say https://t.co/ZU4Sad0Z3L,@doktertifa @prabowo masalahnya pak prabowo mendukung gutu politiknya karena utang jasa pilpres kemaren nama juga di menangkan jadi harus patuh sama yang memenangkan beliau.. itu faktanya sorry to say https://t.co/zu4sad0z3l,"['doktertifa', 'prabowo', 'masalahnya', 'pak', 'prabowo', 'mendukung', 'gutu', 'politiknya', 'karena', 'utang', 'jasa', 'pilpres', 'kemaren', 'nama', 'juga', 'di', 'menangkan', 'jadi', 'harus', 'patuh', 'sama', 'yang', 'memenangkan', 'beliau', 'itu', 'faktanya', 'sorry', 'to', 'say']","['doktertifa', 'prabowo', 'prabowo', 'mendukung', 'gutu', 'politiknya', 'utang', 'jasa', 'pilpres', 'kemaren', 'nama', 'menangkan', 'patuh', 'memenangkan', 'beliau', 'faktanya', 'sorry', 'to', 'say']","['doktertifa', 'prabowo', 'prabowo', 'mendukung', 'gutu', 'politiknya', 'utang', 'jasa', 'pilpres', 'kemaren', 'nama', 'menangkan', 'patuh', 'memenangkan', 'beliau', 'faktanya', 'sorry', 'to', 'say']","['doktertifa', 'prabowo', 'prabowo', 'dukung', 'gutu', 'politik', 'utang', 'jasa', 'pilpres', 'kemaren', 'nama', 'menang', 'patuh', 'menang', 'beliau', 'fakta', 'sorry', 'to', 'say']",politik
@MayaA62580468 Prabowo yang pilih Gibran dan menolak Ganjar semua itu direstui mayoritas rakyat yang pilih Prabowo Gibran dengan hanya sekali putaran. Sakit akibat kalah Pilpres itu memang bisa bikin gila ,@mayaa62580468 prabowo yang pilih gibran dan menolak ganjar semua itu direstui mayoritas rakyat yang pilih prabowo gibran dengan hanya sekali putaran. sakit akibat kalah pilpres itu memang bisa bikin gila ,"['mayaa', 'prabowo', 'yang', 'pilih', 'gibran', 'dan', 'menolak', 'ganjar', 'semua', 'itu', 'direstui', 'mayoritas', 'rakyat', 'yang', 'pilih', 'prabowo', 'gibran', 'dengan', 'hanya', 'sekali', 'putaran', 'sakit', 'akibat', 'kalah', 'pilpres', 'itu', 'memang', 'bisa', 'bikin', 'gila']","['mayaa', 'prabowo', 'pilih', 'gibran', 'menolak', 'ganjar', 'direstui', 'mayoritas', 'rakyat', 'pilih', 'prabowo', 'gibran', 'putaran', 'sakit', 'akibat', 'kalah', 'pilpres', 'bikin', 'gila']","['mayaa', 'prabowo', 'pilih', 'gibran', 'menolak', 'ganjar', 'direstui', 'mayoritas', 'rakyat', 'pilih', 'prabowo', 'gibran', 'putaran', 'sakit', 'akibat', 'kalah', 'pilpres', 'bikin', 'gila']","['mayaa', 'prabowo', 'pilih', 'gibran', 'tolak', 'ganjar', 'restu', 'mayoritas', 'rakyat', 'pilih', 'prabowo', 'gibran', 'putar', 'sakit', 'akibat', 'kalah', 'pilpres', 'bikin', 'gila']",politik
@msaid_didu 10 thn negara ini dibuat makin rusak oleh jkw dn skrg blm ad tanda2 perbaikan setelah prabowo presiden dn malah terlihat makin runyam Revolusi pk seluruh rakyat agar jkw bisa diadili keluarga dn kroni2nya dn benerin sistem pemilu agar lahir pe,@msaid_didu 10 thn negara ini dibuat makin rusak oleh jkw dn skrg blm ad tanda2 perbaikan setelah prabowo presiden dn malah terlihat makin runyam revolusi pk seluruh rakyat agar jkw bisa diadili keluarga dn kroni2nya dn benerin sistem pemilu agar lahir pe,"['msaiddidu', 'thn', 'negara', 'ini', 'dibuat', 'makin', 'rusak', 'oleh', 'jkw', 'dn', 'skrg', 'blm', 'ad', 'tanda', 'perbaikan', 'setelah', 'prabowo', 'presiden', 'dn', 'malah', 'terlihat', 'makin', 'runyam', 'revolusi', 'pk', 'seluruh', 'rakyat', 'agar', 'jkw', 'bisa', 'diadili', 'keluarga', 'dn', 'kroninya', 'dn', 'benerin', 'sistem', 'pemilu', 'agar', 'lahir', 'pe']","['msaiddidu', 'thn', 'negara', 'rusak', 'jkw', 'dn', 'skrg', 'blm', 'ad', 'tanda', 'perbaikan', 'prabowo', 'presiden', 'dn', 'runyam', 'revolusi', 'pk', 'rakyat', 'jkw', 'diadili', 'keluarga', 'dn', 'kroninya', 'dn', 'benerin', 'sistem', 'pemilu', 'lahir', 'pe']","['msaiddidu', 'thn', 'negara', 'rusak', 'jkw', 'dn', 'skrg', 'blm', 'ad', 'tanda', 'perbaikan', 'prabowo', 'presiden', 'dn', 'runyam', 'revolusi', 'pk', 'rakyat', 'jkw', 'diadili', 'keluarga', 'dn', 'kroninya', 'dn', 'benerin', 'sistem', 'pemilu', 'lahir', 'pe']","['msaiddidu', 'thn', 'negara', 'rusak', 'jkw', 'dn', 'skrg', 'blm', 'ad', 'tanda', 'baik', 'prabowo', 'presiden', 'dn', 'runyam', 'revolusi', 'pk', 'rakyat', 'jkw', 'adil', 'keluarga', 'dn', 'kroni', 'dn', 'benerin', 'sistem', 'milu', 'lahir', 'pe']",politik
@MayaA62580468 Jika kamu malu sbg warga negara indonesia pindah saja kewarganegaraan. Pemilu sdh slsi kmngan sdh diputuskan. Sy tdk memilih beliau. Nmn scr hukum dan syah prabowo - gibran presiden dan wakil negeri ini. Sbg warga ngr hrs hormatilah kpts ne,@mayaa62580468 jika kamu malu sbg warga negara indonesia pindah saja kewarganegaraan. pemilu sdh slsi kmngan sdh diputuskan. sy tdk memilih beliau. nmn scr hukum dan syah prabowo - gibran presiden dan wakil negeri ini. sbg warga ngr hrs hormatilah kpts ne,"['mayaa', 'jika', 'kamu', 'malu', 'sbg', 'warga', 'negara', 'indonesia', 'pindah', 'saja', 'kewarganegaraan', 'pemilu', 'sdh', 'slsi', 'kmngan', 'sdh', 'diputuskan', 'sy', 'tdk', 'memilih', 'beliau', 'nmn', 'scr', 'hukum', 'dan', 'syah', 'prabowo', 'gibran', 'presiden', 'dan', 'wakil', 'negeri', 'ini', 'sbg', 'warga', 'ngr', 'hrs', 'hormatilah', 'kpts', 'ne']","['mayaa', 'malu', 'sbg', 'warga', 'negara', 'indonesia', 'pindah', 'kewarganegaraan', 'pemilu', 'sdh', 'slsi', 'kmngan', 'sdh', 'diputuskan', 'sy', 'tdk', 'memilih', 'beliau', 'nmn', 'scr', 'hukum', 'syah', 'prabowo', 'gibran', 'presiden', 'wakil', 'negeri', 'sbg', 'warga', 'ngr', 'hrs', 'hormatilah', 'kpts', 'ne']","['mayaa', 'malu', 'sbg', 'warga', 'negara', 'indonesia', 'pindah', 'kewarganegaraan', 'pemilu', 'sdh', 'slsi', 'kmngan', 'sdh', 'diputuskan', 'sy', 'tidak', 'memilih', 'beliau', 'nmn', 'scr', 'hukum', 'syah', 'prabowo', 'gibran', 'presiden', 'wakil', 'negeri', 'sbg', 'warga', 'ngr', 'hrs', 'hormatilah', 'kpts', 'ne']","['mayaa', 'malu', 'sbg', 'warga', 'negara', 'indonesia', 'pindah', 'kewarganegaraan', 'milu', 'sdh', 'slsi', 'kmngan', 'sdh', 'putus', 'sy', 'tidak', 'pilih', 'beliau', 'nmn', 'scr', 'hukum', 'syah', 'prabowo', 'gibran', 'presiden', 'wakil', 'negeri', 'sbg', 'warga', 'ngr', 'hrs', 'hormat', 'kpts', 'ne']",politik
Hehehe..dulu juga lucu. Orang2 pada nangis Prabowo pasca debat. Polanya sama ,hehehe..dulu juga lucu. orang2 pada nangis prabowo pasca debat. polanya sama ,"['hehehedulu', 'juga', 'lucu', 'orang', 'pada', 'nangis', 'prabowo', 'pasca', 'debat', 'polanya', 'sama']","['hehehedulu', 'lucu', 'orang', 'nangis', 'prabowo', 'pasca', 'debat', 'polanya']","['hehehedulu', 'lucu', 'orang', 'nangis', 'prabowo', 'pasca', 'debat', 'polanya']","['hehehedulu', 'lucu', 'orang', 'nang', 'prabowo', 'pasca', 'debat', 'pola']",politik
@DS_yantie @PDI_Perjuangan Pacul sadar dirinya tak sehebat Jokowi. Kekalahan Banteng di Jateng dan basis di daerah lain pun Ganjar-Mahfud adalah fakta. No debat. Dan istilah petugas partai itu stigmanya buruk. Tak relevan lagi di masa kami yang lahir era ,@ds_yantie @pdi_perjuangan pacul sadar dirinya tak sehebat jokowi. kekalahan banteng di jateng dan basis di daerah lain pun ganjar-mahfud adalah fakta. no debat. dan istilah petugas partai itu stigmanya buruk. tak relevan lagi di masa kami yang lahir era ,"['dsyantie', 'pdiperjuangan', 'pacul', 'sadar', 'dirinya', 'tak', 'sehebat', 'jokowi', 'kekalahan', 'banteng', 'di', 'jateng', 'dan', 'basis', 'di', 'daerah', 'lain', 'pun', 'ganjarmahfud', 'adalah', 'fakta', 'no', 'debat', 'dan', 'istilah', 'petugas', 'partai', 'itu', 'stigmanya', 'buruk', 'tak', 'relevan', 'lagi', 'di', 'masa', 'kami', 'yang', 'lahir', 'era']","['dsyantie', 'pdiperjuangan', 'pacul', 'sadar', 'sehebat', 'jokowi', 'kekalahan', 'banteng', 'jateng', 'basis', 'daerah', 'ganjarmahfud', 'fakta', 'no', 'debat', 'istilah', 'petugas', 'partai', 'stigmanya', 'buruk', 'relevan', 'lahir', 'era']","['dsyantie', 'pdiperjuangan', 'pacul', 'sadar', 'sehebat', 'jokowi', 'kekalahan', 'banteng', 'jateng', 'basis', 'daerah', 'ganjarmahfud', 'fakta', 'no', 'debat', 'istilah', 'petugas', 'partai', 'stigmanya', 'buruk', 'relevan', 'lahir', 'era']","['dsyantie', 'pdiperjuangan', 'pacul', 'sadar', 'hebat', 'jokowi', 'kalah', 'banteng', 'jateng', 'basis', 'daerah', 'ganjarmahfud', 'fakta', 'no', 'debat', 'istilah', 'tugas', 'partai', 'stigma', 'buruk', 'relevan', 'lahir', 'era']",politik
